idpoint|longitude|latitude|sog|cog|ts|route
1|-4.787324|48.352757|14.1|186.7|1445189598|R_01
2|-4.788092|48.35344|12.3|180.8|1451319069|R_01
3|-4.787115|48.35474|15.3|193.5|1451149138|R_01
4|-4.787005|48.35592|14.4|208.6|1445272389|R_01
5|-4.789038|48.35614|14|99.9|1449506821|R_01
6|-4.78602|48.356228|14|210.2|1454431981|R_01
7|-4.79041|48.356285|14.9|105.9|1452848920|R_01
8|-4.78637|48.356636|13.8|200|1445792806|R_01
9|-4.787025|48.356827|13.8|216.7|1448453824|R_01
10|-4.786363|48.356834|13.2|210.1|1451667973|R_01
11|-4.788885|48.356945|12|83.2|1454154776|R_01
12|-4.78613|48.35697|13|219.6|1454846217|R_01
13|-4.79364|48.357048|13.9|283.9|1458487241|R_01
14|-4.785665|48.357132|13.7|206.6|1459008268|R_01
15|-4.794185|48.357136|14.1|125|1451216283|R_01
16|-4.787968|48.357227|12.8|48.2|1449057481|R_01
17|-4.790127|48.357254|14.2|86.3|1454603998|R_01
18|-4.787633|48.357315|12.2|90.5|1444474594|R_01
19|-4.789237|48.35733|14.3|119.4|1450429818|R_01
20|-4.789693|48.357353|12.3|265.5|1452185903|R_01
21|-4.791153|48.357452|13.3|90.3|1447692333|R_01
22|-4.792363|48.35748|16.3|120.8|1446822800|R_01
23|-4.792295|48.35748|15|123.1|1451147978|R_01
24|-4.7858|48.35748|14|208.3|1449058351|R_01
25|-4.785878|48.357487|12.5|214.1|1447693272|R_01
26|-4.78756|48.3575|12.5|88.8|1452962620|R_01
27|-4.787788|48.357525|13.3|65.1|1448210409|R_01
28|-4.785773|48.35754|13|204.4|1449507631|R_01
29|-4.789257|48.35757|12.6|97.6|1445271341|R_01
30|-4.78746|48.357574|10.9|67.2|1452340630|R_01
31|-4.787324|48.357594|13.2|241.5|1449243190|R_01
32|-4.791382|48.3576|12.9|95.6|1445773288|R_01
33|-4.788325|48.357613|14.5|238.9|1458838669|R_01
34|-4.78779|48.357624|13.3|215|1452963387|R_01
35|-4.78571|48.35763|12.9|206.5|1453740975|R_01
36|-4.79077|48.35764|14.6|278|1450453131|R_01
37|-4.785967|48.357647|12.5|214|1448903165|R_01
38|-4.787332|48.35766|10.7|80.8|1451666887|R_01
39|-4.78575|48.357674|14.2|212.7|1446397622|R_01
40|-4.796097|48.357697|16.4|133.3|1449241696|R_01
41|-4.789603|48.357754|14.6|282|1448715845|R_01
42|-4.790653|48.35776|11.7|102.9|1449662403|R_01
43|-4.791333|48.357773|12.5|108.1|1448452971|R_01
