route|pointnumber|longitude|latitude
R_01|1|-4.958542|48.401387
R_01|2|-4.938665|48.405298
R_01|3|-4.891017|48.401597
R_01|4|-4.817815|48.378173
R_01|5|-4.791836|48.361443
R_02|1|-4.786851|48.357526
R_02|2|-4.821727|48.378226
R_02|3|-4.859174|48.395165
R_02|4|-4.948619|48.407880
R_02|5|-4.954662|48.403971
R_03|1|-4.954549|48.409404
R_03|2|-4.959007|48.420138
R_03|3|-4.987629|48.443404
R_03|4|-5.023587|48.466563
R_03|5|-5.053658|48.469037
R_04|1|-5.031616|48.467576
R_04|2|-4.993995|48.439123
R_04|3|-4.942625|48.407360
R_05|1|-4.547968|48.348761
R_05|2|-4.586351|48.337910
R_05|3|-4.664958|48.321284
R_05|4|-4.724479|48.316943
R_05|5|-4.785640|48.324522
R_05|6|-4.787982|48.340280
R_05|7|-4.781105|48.355127
R_06|1|-4.780031|48.350890
R_06|2|-4.778643|48.327652
R_06|3|-4.743851|48.324417
R_06|4|-4.661707|48.325894
R_06|5|-4.602942|48.335868
R_06|6|-4.551977|48.349811
R_07|1|-4.530672|48.352684
R_07|2|-4.546180|48.349199
R_07|3|-4.581642|48.326073
R_07|4|-4.588808|48.278868
R_08|1|-4.587095|48.285634
R_08|2|-4.586898|48.321327
R_08|3|-4.573359|48.336781
R_08|4|-4.529827|48.353211
R_09|1|-4.793025|48.362218
R_09|2|-4.816622|48.371910
R_09|3|-4.847488|48.396916
R_09|4|-4.916249|48.423111
R_09|5|-4.964271|48.428579
R_09|6|-5.042084|48.468701
R_10|1|-4.549447|48.348751
R_10|2|-4.586663|48.341231
R_10|3|-4.666528|48.328437
R_10|4|-4.725843|48.323581
R_10|5|-4.778711|48.325466
R_10|6|-4.790685|48.346890
R_10|7|-4.840515|48.387210
R_10|8|-4.902509|48.402321
R_10|9|-4.953129|48.408101
R_11|1|-4.935480|48.408940
R_11|2|-4.885680|48.400428
R_11|3|-4.814886|48.371795
R_11|4|-4.771757|48.326465
R_11|5|-4.700891|48.323222
R_11|6|-4.637159|48.329436
R_11|7|-4.571354|48.345065
R_12|1|-4.320286|48.094203
R_12|2|-4.311435|48.101063
R_12|3|-4.402297|48.117282
R_12|4|-4.414348|48.114739
R_12|5|-4.509915|48.105104
R_12|6|-4.563695|48.099529
R_12|7|-4.632952|48.089735
R_12|8|-4.696093|48.080309
R_12|9|-4.760670|48.061800
R_12|10|-4.831977|48.042421
R_13|1|-4.820187|48.043720
R_13|2|-4.770068|48.058800
R_13|3|-4.696163|48.077819
R_13|4|-4.633182|48.086478
R_13|5|-4.565394|48.096234
R_13|6|-4.501160|48.105301
R_13|7|-4.435886|48.113278
R_13|8|-4.329990|48.106990
R_13|9|-4.320568|48.097083
R_14|1|-5.130643|48.287749
R_14|2|-5.088127|48.277955
R_14|3|-5.011034|48.261921
R_14|4|-4.948216|48.258233
R_14|5|-4.879693|48.263588
R_14|6|-4.816419|48.274926
R_14|7|-4.750760|48.288017
R_14|8|-4.688283|48.303190
R_14|9|-4.625032|48.322401
R_14|10|-4.566854|48.341850
R_14|11|-4.556098|48.344752
R_15|1|-4.545035|48.348872
R_15|2|-4.591676|48.333101
R_15|3|-4.661528|48.304023
R_15|4|-4.722460|48.285549
R_15|5|-4.788925|48.265653
R_15|6|-4.852610|48.246185
R_15|7|-4.913307|48.220485
R_15|8|-4.978106|48.196049
R_15|9|-5.042692|48.171777
R_15|10|-5.104952|48.143031
R_15|11|-5.138892|48.134562
R_16|1|-4.545116|48.347430
R_16|2|-4.586774|48.336373
R_16|3|-4.662565|48.312575
R_16|4|-4.721965|48.298182
R_16|5|-4.790381|48.284816
R_16|6|-4.855254|48.274367
R_16|7|-4.923569|48.271656
R_16|8|-4.986950|48.279600
R_16|9|-5.053656|48.297909
R_16|10|-5.112456|48.319808
R_16|11|-5.129480|48.325035
R_17|1|-4.540688|48.346825
R_17|2|-4.582802|48.325780
R_17|3|-4.639900|48.278695
R_17|4|-4.677157|48.234268
R_17|5|-4.727286|48.189336
R_17|6|-4.774881|48.144016
R_17|7|-4.816953|48.095620
R_17|8|-4.846150|48.048309
