MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
224989000,2023-01-01T00:00:07,24.4852,-79.87384,18.9,42.9,39.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:01:14,24.48949,-79.8696,18.8,41.4,38.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:02:18,24.49377,-79.86547,18.8,42.0,40.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:03:26,24.49807,-79.86108,18.8,43.8,41.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:04:32,24.5022,-79.85666,18.8,44.4,41.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:05:37,24.5063,-79.85236,18.8,43.3,40.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:06:43,24.51055,-79.84807,18.8,42.6,39.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:07:49,24.51481,-79.84381,18.8,42.3,39.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:08:55,24.51907,-79.83954,18.8,42.8,40.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:10:01,24.5233,-79.83523,18.8,43.3,40.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:11:07,24.52752,-79.83092,18.8,42.9,40.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:12:13,24.53178,-79.82667,18.8,42.1,39.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:13:19,24.53609,-79.82248,18.8,41.6,39.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:14:25,24.54044,-79.8182,18.8,42.3,40.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
224989000,2023-01-01T00:15:31,24.54469,-79.81393,18.8,42.7,40.0,RIAS BAIXAS KNUTSEN,IMO9825568,EBRU,80.0,0.0,299.0,48.0,12.2,80.0,A
